Player Name,Player ID,Champion ID,Record,Winrate,KDA,CS /min,Gold /min,Gold %,KP,Damage /min,Damage %,K + A /min,Solo kills,Pentakills
Envyy,3242,121,1W - 4L,20%,2.2,9,408,24%,74.4%,519.7,25.6%,0.2,1,0
Envyy,3242,135,4W - 9L,30.8%,2.5,10,421,24.1%,63.5%,530.4,30.1%,0.19,-,0
Envyy,3242,147,15W - 18L,45.5%,3.0,9.6,436,24.8%,67.7%,565.7,31%,0.25,3,0
Envyy,3242,140,10W - 8L,55.6%,4.0,9.8,459,25.5%,72.2%,530.1,26.7%,0.3,4,0
Envyy,3242,21,7W - 13L,35%,2.8,9.4,407,23.6%,61.3%,588.4,31.4%,0.22,5,0
Envyy,3242,50,6W - 5L,54.5%,2.5,9.1,408,23.3%,66.2%,574.2,29.4%,0.2,-,0
Envyy,3242,83,0W - 5L,0%,1.1,9.7,389,23.7%,60.7%,486.5,24.6%,0.14,-,0
Envyy,3242,100,10W - 9L,52.6%,3.4,9.1,421,23.7%,70.1%,574.5,26.3%,0.24,-,0
Envyy,3242,152,0W - 1L,0%,2.0,6.8,331,18.9%,57.1%,310.6,17.8%,0.13,-,0
Envyy,3242,37,9W - 4L,69.2%,3.9,10.5,461,25.5%,64.7%,630.7,32.6%,0.26,1,1
Envyy,3242,146,0W - 1L,0%,2.5,1.5,259,15.4%,62.5%,350.8,18.5%,0.21,-,0
Ephekles,5111,136,6W - 9L,40%,4.5,1.2,240,13.5%,72.4%,167.5,8%,0.34,-,0
Ephekles,5111,62,7W - 6L,53.8%,3.9,1.1,265,14%,72.4%,205.9,8.4%,0.46,1,0
Ephekles,5111,153,1W - 4L,20%,2.2,1,233,13.3%,75.7%,112.3,5.9%,0.29,-,0
Ephekles,5111,163,1W - 0L,100%,4.5,1.5,292,15.2%,69.2%,91.9,3.4%,0.54,-,0
Ephekles,5111,48,0W - 2L,0%,3.4,1.2,223,13%,86.1%,124.2,5.6%,0.22,-,0
Ephekles,5111,124,0W - 1L,0%,4.0,1.5,242,14.9%,50%,291.5,17.8%,0.15,-,0
Ephekles,5111,55,0W - 1L,0%,1.2,1.3,280,15.4%,75%,207.3,11%,0.23,-,0
Ephekles,5111,4,1W - 0L,100%,3.0,0.8,267,13.3%,83.3%,141.2,5.2%,0.55,-,0
Erdote,1815,62,24W - 21L,53.3%,2.7,1.1,236,13.1%,63.7%,170.3,7.4%,0.29,1,0
Erdote,1815,8,5W - 2L,71.4%,6.8,1.1,290,15%,78.7%,454.9,16.1%,0.41,-,0
Erdote,1815,126,18W - 15L,54.5%,3.9,3.2,277,15.1%,63.6%,184.8,8.6%,0.29,1,0
Erdote,1815,163,2W - 2L,50%,3.9,1,240,13.3%,90%,92.6,3.6%,0.28,-,0
Erdote,1815,48,28W - 7L,80%,3.7,1.3,242,12.9%,59.7%,125.6,5.6%,0.32,-,0
Erdote,1815,51,11W - 12L,47.8%,4.1,0.8,241,13.4%,76%,146.8,6.6%,0.32,2,0
Erdote,1815,159,6W - 3L,66.7%,4.8,0.9,251,13.2%,74.9%,174.8,7.1%,0.38,-,0
Erdote,1815,86,4W - 1L,80%,6.5,0.9,243,13.3%,78.8%,154.8,7%,0.32,-,0
Erdote,1815,60,5W - 1L,83.3%,7.1,0.6,270,14.3%,77.3%,240.5,8.5%,0.41,-,0
Erdote,1815,124,3W - 2L,60%,3.3,1.2,241,13.3%,75.9%,211.4,10.1%,0.29,-,0
Erdote,1815,31,0W - 3L,0%,1.8,3.3,275,16.3%,58.4%,423.2,19.2%,0.19,-,0
Erdote,1815,38,10W - 5L,66.7%,3.7,0.8,242,13.6%,79.1%,273.5,12%,0.31,2,0
Erdote,1815,118,32W - 16L,66.7%,4.9,1.7,254,13.8%,74.1%,150.8,7.4%,0.33,-,0
Erdote,1815,4,20W - 13L,60.6%,3.2,1.4,247,13.6%,67.7%,133.9,7.5%,0.26,1,0
Erdote,1815,92,20W - 8L,71.4%,5.0,1,243,13.1%,77.6%,134,6.8%,0.34,-,0
Erolle,5219,120,13W - 12L,52%,4.5,8.7,405,22.9%,60.7%,624.9,28.1%,0.26,9,1
Erolle,5219,14,1W - 1L,50%,4.6,8.5,439,23.8%,64.2%,1032.6,31.9%,0.28,-,0
Erolle,5219,2,3W - 0L,100%,14.0,7.9,422,21.3%,70.6%,523.8,21%,0.48,1,0
Erolle,5219,67,0W - 4L,0%,1.8,8.5,336,20.8%,72%,375.1,25.5%,0.14,-,0
Erolle,5219,131,1W - 1L,50%,4.2,8.1,420,22.6%,75.8%,635.1,29.6%,0.36,1,0
Erolle,5219,12,11W - 2L,84.6%,5.1,8.2,417,21.3%,60.8%,524.7,22.2%,0.38,10,0
Erolle,5219,3,2W - 0L,100%,31.0,8.2,483,22.7%,58.6%,591.6,24.5%,0.59,3,0
Erolle,5219,93,4W - 1L,80%,9.0,8.9,539,26.9%,68.4%,814,31.2%,0.53,2,0
Ersin,4066,1,7W - 5L,58.3%,5.0,8.1,393,21.5%,54.2%,471.7,21.5%,0.26,4,0
Ersin,4066,23,4W - 3L,57.1%,2.4,8.2,375,20.7%,41.6%,337,18.5%,0.2,1,0
Ersin,4066,43,2W - 0L,100%,8.3,8.5,425,22.2%,48.9%,650,22.6%,0.33,1,0
Ersin,4066,134,1W - 5L,16.7%,1.6,7.1,388,22.7%,62.5%,457.8,23.3%,0.24,3,0
Ersin,4066,119,8W - 2L,80%,4.0,7.3,377,19.6%,45.5%,411.7,18.4%,0.29,2,0
Ersin,4066,72,2W - 3L,40%,4.3,8.1,382,22.6%,78.3%,365,20.4%,0.25,1,0
Ersin,4066,75,0W - 1L,0%,2.0,8.8,415,23%,53.3%,944.8,37.1%,0.22,2,0
Escik,3587,67,18W - 15L,54.5%,4.1,8.7,402,22.7%,72.1%,600.8,27.6%,0.3,8,0
Escik,3587,142,1W - 2L,33.3%,3.6,8.3,407,22.8%,70.6%,554.7,22.1%,0.29,2,0
Escik,3587,120,12W - 11L,52.2%,3.5,9,422,23.3%,68.4%,639.2,31.1%,0.28,6,0
Escik,3587,38,2W - 1L,66.7%,6.7,8.2,390,19.7%,75.1%,749.7,26.2%,0.46,1,0
Escik,3587,3,4W - 3L,57.1%,4.7,8.1,418,22.7%,66.9%,648.8,28.7%,0.34,4,0
Escik,3587,131,0W - 5L,0%,2.3,8.6,396,22.7%,67.8%,595.5,25.3%,0.28,-,0
Escik,3587,2,8W - 6L,57.1%,5.8,8.4,419,22.9%,72.9%,700.2,28.1%,0.41,1,0
Escik,3587,166,1W - 0L,100%,-,9,436,22.3%,85%,693.8,24.8%,0.37,-,0
Escik,3587,93,1W - 1L,50%,2.6,9.4,488,27%,69.7%,823,29.4%,0.28,3,0
Escik,3587,130,0W - 1L,0%,0.5,8.3,320,20.7%,33.3%,397.7,21.4%,0.08,-,0
Esko,3690,146,5W - 1L,83.3%,27.0,6.6,428,22.2%,83.2%,517.3,24.8%,0.43,-,0
Esko,3690,167,2W - 2L,50%,5.0,8.5,421,23.8%,80.8%,707.1,34.6%,0.31,-,0
Esko,3690,140,6W - 5L,54.5%,4.0,8.5,425,24.3%,72.5%,590.7,27.7%,0.33,2,0
Esko,3690,147,3W - 7L,30%,2.8,8.4,400,24%,61.4%,554.3,26.7%,0.25,1,0
Esko,3690,100,1W - 4L,20%,2.9,8.2,397,23.7%,65.8%,695,32%,0.31,1,0
Esko,3690,129,2W - 5L,28.6%,3.7,7.9,385,23.4%,59.6%,522.9,24.4%,0.28,5,0
Esko,3690,121,2W - 1L,66.7%,6.0,8.8,439,25.2%,70.3%,422.1,25.4%,0.26,-,0
Esko,3690,50,2W - 1L,66.7%,4.6,9.4,423,23.3%,68%,497.3,29.1%,0.26,-,0
Ethelikith,5199,1,6W - 1L,85.7%,2.2,7.8,384,20.6%,46.2%,492.6,18.8%,0.2,2,0
Ethelikith,5199,36,1W - 1L,50%,2.8,8.2,424,23.2%,63.9%,642.2,25.2%,0.32,-,0
Ethelikith,5199,122,0W - 2L,0%,0.8,7.5,337,21.3%,45.2%,501.1,29.3%,0.08,-,0
Ethelikith,5199,150,0W - 1L,0%,3.5,10,423,23.8%,70%,602.4,25.6%,0.23,-,0
Ethelikith,5199,162,5W - 5L,50%,2.5,7.3,352,19.9%,48.9%,371.6,18.2%,0.24,5,0
Ethelikith,5199,96,1W - 0L,100%,3.7,8.3,460,23.4%,61.1%,358.8,19.4%,0.31,1,0
Ethelikith,5199,101,0W - 1L,0%,2.0,7.7,394,23.7%,57.1%,561.1,22.3%,0.26,-,0
Ethelikith,5199,106,0W - 1L,0%,0.3,7.3,308,18.5%,16.7%,640.2,28%,0.03,-,0
Ethelikith,5199,53,1W - 0L,100%,8.0,5.5,309,17%,61.5%,422.2,18.3%,0.25,-,0
Ethelikith,5199,69,1W - 1L,50%,4.2,6.3,333,18.2%,53.8%,621.8,20.2%,0.28,1,0
Ethelikith,5199,119,1W - 0L,100%,10.0,8.5,451,22.9%,62.5%,553,25.2%,0.34,-,0
Ethelikith,5199,72,0W - 1L,0%,0.0,8.6,399,25.1%,0%,510.9,26.5%,0,-,0
Eugeo,3065,120,3W - 8L,27.3%,2.5,9,424,24%,76.7%,640.1,31.8%,0.27,-,0
Eugeo,3065,166,3W - 3L,50%,4.8,9,409,22.4%,66.3%,839.4,33.9%,0.28,-,0
Eugeo,3065,3,0W - 2L,0%,2.3,7.5,358,22%,71.4%,463.4,23.7%,0.2,1,0
Eugeo,3065,25,11W - 10L,52.4%,4.4,7.7,364,20.4%,69%,341.1,17.3%,0.32,5,0
Eugeo,3065,38,1W - 1L,50%,3.0,6.4,324,19.4%,34.1%,656.2,23%,0.2,-,0
Eugeo,3065,67,1W - 6L,14.3%,3.5,8.9,364,22.4%,60.7%,496.7,26.4%,0.17,-,0
Evaan,4004,120,1W - 4L,20%,2.6,10.1,436,25.2%,46.9%,605.7,29.1%,0.2,3,0
Evaan,4004,166,1W - 2L,33.3%,6.7,8.5,411,22.6%,82.2%,709.8,27.5%,0.44,3,0
Evaan,4004,109,0W - 1L,0%,2.3,9.1,414,25.8%,100%,769.7,38.7%,0.2,1,0
Evaan,4004,32,5W - 4L,55.6%,2.2,8.6,422,23.5%,62.5%,422,21.2%,0.27,4,0
Evaan,4004,87,3W - 6L,33.3%,4.2,7.7,371,21.6%,78.7%,609,28.3%,0.35,5,0
Ever,5649,47,0W - 2L,0%,0.6,4.7,269,17.3%,54.5%,238.1,18%,0.11,-,0
Ever,5649,55,0W - 1L,0%,1.7,4.8,275,17%,71.4%,227.8,12.7%,0.15,-,0
Ever,5649,154,1W - 0L,100%,2.9,5.1,447,22.1%,74.1%,721,23.9%,0.66,1,0
Evi,969,162,11W - 14L,44%,2.4,7.1,356,19.8%,56.5%,420.2,19.2%,0.23,9,0
Evi,969,75,7W - 4L,63.6%,4.1,7.9,379,20.6%,58.1%,543.7,26.6%,0.28,3,0
Evi,969,96,5W - 1L,83.3%,3.8,7.4,438,22.2%,60%,655.5,23%,0.35,2,0
Evi,969,1,9W - 2L,81.8%,3.6,7.5,403,20.7%,58.3%,624.6,25.8%,0.35,9,0
Evi,969,72,26W - 11L,70.3%,3.6,7.7,397,21.6%,58.1%,456.5,21.8%,0.28,14,0
Evi,969,122,3W - 2L,60%,3.2,6.3,389,20.4%,63.6%,632.2,19.5%,0.42,2,0
Evi,969,3,11W - 3L,78.6%,3.5,7.7,393,20.8%,47.8%,526.4,25.2%,0.27,12,0
Evi,969,167,2W - 0L,100%,4.8,9.3,448,20.8%,58.5%,988.1,30.5%,0.44,-,0
Evi,969,35,1W - 4L,20%,2.1,6.8,366,20.7%,54.9%,631.2,25.4%,0.2,1,0
Evi,969,150,2W - 0L,100%,2.0,8.9,401,20%,40.1%,464.1,21.1%,0.13,-,0
Evi,969,119,52W - 24L,68.4%,3.7,7.6,387,21.2%,58.6%,503.9,24.8%,0.26,28,0
Evi,969,113,1W - 0L,100%,3.2,6.9,361,17.4%,72.7%,600.3,19.2%,0.55,-,0
Evi,969,138,15W - 6L,71.4%,4.4,7.1,349,19.1%,66.9%,440.7,20.6%,0.3,-,0
Evi,969,28,7W - 4L,63.6%,4.0,7,355,19.4%,59.6%,455.3,22.8%,0.28,4,0
Exakick,3194,158,11W - 12L,47.8%,3.9,10.3,467,25.9%,68.8%,708,30.5%,0.32,4,0
Exakick,3194,121,21W - 8L,72.4%,4.7,9.5,464,24.2%,67.5%,513.4,22.9%,0.41,-,0
Exakick,3194,100,4W - 7L,36.4%,2.6,9.2,418,24.1%,64%,672.3,26.8%,0.24,1,0
Exakick,3194,18,7W - 4L,63.6%,5.0,9.4,498,25.8%,60.7%,655.3,26.7%,0.37,3,0
Exakick,3194,50,5W - 7L,41.7%,3.1,9.3,446,25.5%,72.3%,599.3,28.6%,0.27,2,0
Exakick,3194,135,13W - 11L,54.2%,4.3,10.1,462,25.3%,66.7%,623.7,29%,0.3,5,0
Exakick,3194,146,1W - 6L,14.3%,3.6,5.6,344,20.4%,78.2%,546.6,23.2%,0.32,1,0
Exakick,3194,129,9W - 7L,56.3%,5.0,9,420,23.5%,61.8%,472.2,23.1%,0.26,1,0
Exakick,3194,147,33W - 13L,71.7%,4.3,9.8,455,24.2%,57.4%,566.8,26.9%,0.3,10,0
Exakick,3194,140,4W - 6L,40%,3.7,9.9,429,24.1%,63%,428.4,22.5%,0.23,2,0
Execute,2657,62,11W - 14L,44%,2.0,1.5,238,13.4%,66.4%,141.1,7.1%,0.23,-,0
Execute,2657,136,6W - 11L,35.3%,2.7,1,234,13.4%,74.7%,147.8,7.5%,0.27,-,0
Execute,2657,4,1W - 6L,14.3%,1.6,0.9,220,13%,54.8%,120,6.6%,0.19,-,0
Execute,2657,159,1W - 4L,20%,1.7,0.9,233,14%,64.3%,165.6,8.3%,0.21,-,0
Execute,2657,153,7W - 3L,70%,3.6,1.1,243,12.7%,76.1%,165.6,8.4%,0.4,1,0
Execute,2657,126,5W - 8L,38.5%,2.8,1.6,231,13.5%,69.4%,157.3,8.2%,0.21,1,0
Execute,2657,55,1W - 2L,33.3%,1.5,0.9,244,13.9%,88.7%,303.6,13.5%,0.29,-,0
Execute,2657,60,5W - 5L,50%,3.7,0.7,247,13.4%,81%,194.5,8.2%,0.4,1,0
Execute,2657,163,0W - 2L,0%,1.4,0.8,217,13.4%,100%,90.5,4.6%,0.1,-,0
Execute,2657,142,1W - 2L,33.3%,2.9,0.9,238,13.4%,71.1%,285.6,13.7%,0.24,-,0
Execute,2657,8,4W - 2L,66.7%,2.9,0.9,262,14.3%,67.8%,415.9,16.8%,0.29,-,0
Execute,2657,124,5W - 14L,26.3%,2.5,1.1,225,13.4%,77.7%,162.1,9.4%,0.24,-,0
Execute,2657,51,2W - 1L,66.7%,6.3,0.6,243,13.4%,54.3%,128.3,7%,0.28,-,0
Exiled,4362,153,4W - 1L,80%,3.5,0.9,262,13.6%,73.8%,118.7,4.7%,0.39,-,0
Exiled,4362,62,2W - 4L,33.3%,2.2,1,227,13.1%,58.8%,131.1,7.3%,0.23,-,0
Exiled,4362,136,1W - 2L,33.3%,3.4,1.2,231,13.4%,70.5%,142.1,6.5%,0.27,-,0
Exiled,4362,55,1W - 1L,50%,2.1,0.8,240,13.9%,58.6%,220.1,8.5%,0.25,-,0
Exiled,4362,126,0W - 2L,0%,0.7,5.4,292,17.8%,41.7%,151.3,8.8%,0.08,-,0
Exiled,4362,92,2W - 1L,66.7%,3.6,1,243,12.9%,66.5%,146.6,7.1%,0.33,-,0
Exiled,4362,75,0W - 1L,0%,0.7,0.6,254,15.1%,60%,589.9,26%,0.24,-,0
Exiled,4362,118,0W - 2L,0%,1.3,1,226,13.7%,76.4%,138.7,7.8%,0.19,-,0
Exnom,5552,100,0W - 7L,0%,1.6,8.2,371,23%,58.6%,485.4,25.7%,0.18,-,0
Exnom,5552,147,1W - 1L,50%,1.3,7.8,378,20.7%,30.1%,274.2,12.6%,0.17,-,0
Exnom,5552,152,1W - 0L,100%,3.7,6.1,338,17.8%,68.8%,316.9,14.3%,0.3,-,0
Exnom,5552,101,0W - 1L,0%,1.4,8.1,389,24.1%,100%,446.8,26.3%,0.17,-,0
Exnom,5552,167,0W - 1L,0%,1.0,8.6,343,22.2%,40%,671.5,35.9%,0.08,-,0
Exnom,5552,146,0W - 1L,0%,2.0,7.1,350,21.1%,57.1%,358.1,18%,0.12,-,0
Exnom,5552,121,0W - 1L,0%,0.6,8.8,384,24.3%,66.7%,554.9,31.4%,0.14,-,0
Eyla,1999,62,27W - 24L,52.9%,2.7,1.3,236,13.1%,64.9%,168.3,7.9%,0.29,-,0
Eyla,1999,163,3W - 2L,60%,9.0,0.8,246,13.6%,85.6%,136.3,5.5%,0.36,-,0
Eyla,1999,126,9W - 6L,60%,3.6,3.2,272,14.9%,62.7%,185.5,8.2%,0.3,-,0
Eyla,1999,4,12W - 7L,63.2%,4.3,1.1,240,13.3%,75.3%,138.4,6.8%,0.35,-,0
Eyla,1999,159,15W - 7L,68.2%,6.7,1.1,254,13.3%,75.3%,178.6,7.4%,0.4,-,0
Eyla,1999,153,15W - 4L,78.9%,4.2,1.2,243,12.6%,75.3%,139.6,6.2%,0.38,-,0
Eyla,1999,38,17W - 6L,73.9%,6.7,0.8,259,13.7%,71.7%,305.7,13.6%,0.36,-,0
Eyla,1999,136,11W - 16L,40.7%,3.2,1.1,233,13%,71.2%,143.2,7.6%,0.29,2,0
Eyla,1999,146,3W - 3L,50%,3.4,1.3,279,15.5%,83.3%,475.3,18.7%,0.33,-,0
Eyla,1999,51,17W - 10L,63%,6.1,0.9,248,13.6%,78.3%,116.8,5.5%,0.32,1,0
Eyla,1999,138,0W - 1L,0%,2.2,6.1,297,17.3%,68.8%,316.5,9.3%,0.29,1,0
Eyla,1999,152,1W - 0L,100%,13.0,6.8,357,17.1%,68.4%,278.6,9.5%,0.43,-,0
Eyliph,3193,98,3W - 2L,60%,2.0,7.6,370,20.5%,48.3%,475.2,20.4%,0.19,1,0
Eyliph,3193,75,10W - 0L,100%,7.7,8.2,426,20.7%,62.8%,686.9,28%,0.39,2,0
Eyliph,3193,138,7W - 7L,50%,2.9,6.8,334,19.9%,67.8%,399.8,20.5%,0.27,4,0
Eyliph,3193,1,9W - 2L,81.8%,4.5,8.1,405,21.6%,47%,552.1,26%,0.28,4,0
Eyliph,3193,106,0W - 3L,0%,1.5,7.2,332,20.5%,61.1%,506.6,23.8%,0.15,1,0
Eyliph,3193,162,4W - 3L,57.1%,3.2,7.1,352,19.1%,47.4%,375.8,16.4%,0.27,2,0
Eyliph,3193,148,2W - 6L,25%,1.8,7.4,381,21.8%,53.9%,470.9,21.4%,0.23,-,0
Eyliph,3193,69,9W - 3L,75%,4.1,7.3,375,19.1%,51.1%,519.7,20.2%,0.29,7,0
Eyliph,3193,28,10W - 8L,55.6%,2.3,7.4,356,19.7%,43.4%,458.4,21%,0.2,4,0
Eyliph,3193,66,4W - 2L,66.7%,2.5,9.3,422,22.4%,38.3%,478.5,24.6%,0.15,3,0
Eyliph,3193,122,0W - 1L,0%,0.4,6.7,303,19.7%,25%,202,11.4%,0.07,-,0
F1VTY,5475,110,0W - 4L,0%,1.5,5.7,305,18.9%,51.7%,285,15.7%,0.16,-,0
F1VTY,5475,108,1W - 2L,33.3%,2.1,5.1,327,18%,64.9%,286.4,11.4%,0.34,-,0
F1VTY,5475,103,0W - 3L,0%,1.9,5.3,291,16.8%,73.2%,219.6,10.6%,0.26,-,0
F1VTY,5475,64,1W - 1L,50%,11.7,6.2,357,18.7%,75.7%,442.4,16.3%,0.44,-,0
F1VTY,5475,29,0W - 1L,0%,3.0,6.9,334,19.3%,66.7%,241.1,12.2%,0.18,-,0
F1VTY,5475,34,0W - 1L,0%,1.3,4.7,313,19.6%,83.3%,274.5,11.1%,0.18,-,0
F1VTY,5475,55,0W - 1L,0%,0.7,5,282,17.8%,50%,222.3,14.9%,0.09,1,0
F1VTY,5475,153,0W - 1L,0%,0.2,4.8,254,17%,33.3%,111.1,9.5%,0.04,-,0
F1VTY,5475,28,0W - 1L,0%,3.8,4.6,276,14.6%,60%,466.9,17.5%,0.36,-,0
F1VTY,5475,106,1W - 0L,100%,-,6,382,18.6%,68.4%,441.8,16%,0.46,-,0
F4rg,2694,162,3W - 3L,50%,3.0,7.4,352,19.3%,44.4%,356.7,17.2%,0.2,-,0
F4rg,2694,32,5W - 5L,50%,2.2,9.5,472,25.2%,53.5%,575.7,25.1%,0.3,13,0
F4rg,2694,138,6W - 8L,42.9%,3.0,7,342,19.6%,56.8%,444.1,21.1%,0.25,-,0
F4rg,2694,69,1W - 1L,50%,6.7,7.3,392,21.2%,70%,691.2,24.8%,0.35,2,0
FBI,1138,146,13W - 18L,41.9%,5.2,3,330,18.8%,82.9%,588.3,28.9%,0.28,-,0
FBI,1138,167,1W - 3L,25%,4.3,9.9,426,24.3%,50.7%,783,31.3%,0.21,-,1
FBI,1138,100,18W - 16L,52.9%,3.9,9.1,419,23.7%,68.1%,640.2,31.7%,0.24,3,0
FBI,1138,129,8W - 4L,66.7%,7.4,9,426,23.3%,68.7%,579.5,25.9%,0.33,3,0
FBI,1138,121,11W - 13L,45.8%,4.0,9.2,431,24.2%,72.2%,479.8,24%,0.3,-,0
FBI,1138,50,11W - 9L,55%,3.9,8.9,423,23.6%,72.8%,552.5,27.2%,0.28,2,0
FBI,1138,140,41W - 11L,78.8%,6.7,9.4,476,25.2%,75%,672.4,30.8%,0.38,5,0
FBI,1138,158,10W - 15L,40%,3.2,9.6,431,24.7%,70%,600.4,29.3%,0.24,1,0
FENZ1,3833,67,0W - 7L,0%,1.5,8.2,355,22%,57.9%,504.8,27.8%,0.18,-,0
FENZ1,3833,3,1W - 2L,33.3%,1.9,7.5,354,20.7%,44.4%,372.9,18.4%,0.16,3,0
FENZ1,3833,150,0W - 3L,0%,0.4,7.3,327,20.3%,36.3%,303.6,17.1%,0.08,-,0
FENZ1,3833,38,0W - 1L,0%,0.6,7.8,345,22.8%,100%,589.7,39%,0.12,-,0
FENZ1,3833,120,0W - 2L,0%,0.7,8.2,339,21.3%,43.3%,380.1,22.8%,0.11,-,0
FENZ1,3833,93,1W - 2L,33.3%,3.1,8.4,435,24.8%,75.8%,495.8,25.6%,0.28,3,0
FENZ1,3833,46,2W - 3L,40%,2.5,7.7,378,21.9%,64.8%,625.8,28.7%,0.22,3,0
FENZ1,3833,166,0W - 1L,0%,2.3,9.2,395,24.7%,87.5%,920.4,37.3%,0.25,1,0
FGG,4051,136,14W - 16L,46.7%,5.7,1.1,238,13.4%,75.9%,151.5,7.1%,0.34,1,0
FGG,4051,62,13W - 9L,59.1%,3.8,1.1,248,13.1%,60.7%,176.3,8.2%,0.39,2,0
FGG,4051,159,1W - 6L,14.3%,3.5,0.8,229,13.4%,75.8%,181.6,8.3%,0.23,-,0
FGG,4051,163,3W - 2L,60%,19.7,1.1,249,13.1%,83.7%,81.7,3.9%,0.4,-,0
FGG,4051,9,0W - 1L,0%,4.3,0.7,264,14.1%,68.4%,214.3,9.4%,0.31,-,0
FGG,4051,8,1W - 3L,25%,6.7,1.1,252,14.5%,82.1%,347.2,17%,0.3,1,0
FGG,4051,31,0W - 1L,0%,9.0,0.8,232,14.3%,69.2%,451,20.7%,0.24,-,0
FGG,4051,166,0W - 1L,0%,-,0.6,218,12.9%,75%,473.6,21.2%,0.17,-,0
FGG,4051,55,0W - 1L,0%,1.0,0.9,217,13.4%,50%,149.1,10.2%,0.03,-,0
FGG,4051,153,14W - 10L,58.3%,3.2,1.1,245,13.3%,73.3%,151.7,7.7%,0.36,2,0
FIERCE,5434,125,1W - 2L,33.3%,4.8,9.4,485,26.6%,82.3%,722.4,28.7%,0.29,-,0
FIERCE,5434,14,2W - 1L,66.7%,7.6,9.6,473,25.7%,64.3%,869.9,33.9%,0.33,1,0
FIERCE,5434,36,1W - 2L,33.3%,3.8,9.6,435,24.9%,60%,841.2,36.3%,0.25,3,0
FIERCE,5434,40,2W - 1L,66.7%,4.1,9.4,509,26.1%,64.2%,743.5,28.6%,0.43,5,0
FIERCE,5434,38,1W - 1L,50%,6.5,7.7,370,20.1%,74.7%,835,31%,0.42,-,0
FIERCE,5434,45,1W - 0L,100%,12.0,9,430,24.5%,70.6%,889.1,33.1%,0.33,-,0
FIERCE,5434,93,0W - 1L,0%,3.3,9.5,454,26%,62.5%,655.5,29.4%,0.28,2,0
FIERCE,5434,2,0W - 1L,0%,0.6,7.5,322,21.7%,100%,493.1,34.3%,0.1,-,0
FIESTA,3439,166,2W - 4L,33.3%,4.1,8,388,21.6%,71.8%,694.5,32.8%,0.29,-,0
FIESTA,3439,2,12W - 12L,50%,4.8,8.4,400,21.7%,74.6%,540.1,24.3%,0.35,3,0
FIESTA,3439,131,6W - 2L,75%,4.1,9.6,433,23.2%,70.3%,626.6,29%,0.29,1,0
FIESTA,3439,14,7W - 8L,46.7%,3.2,9.2,451,25.1%,75.5%,888.6,39.5%,0.28,8,0
FIESTA,3439,120,10W - 19L,34.5%,2.5,8.9,401,23.2%,65.4%,658.2,31.4%,0.24,2,0
FIuffy,5480,110,3W - 0L,100%,4.8,6.8,393,18.6%,58.8%,412.3,13.9%,0.5,-,0
FIuffy,5480,103,2W - 0L,100%,4.3,6.2,369,17.9%,57.5%,399.9,13.8%,0.39,-,0
FIuffy,5480,55,0W - 2L,0%,1.6,4.7,283,17%,68.6%,224.8,10.4%,0.22,-,0
FIuffy,5480,64,0W - 1L,0%,1.0,5.2,294,17.2%,50%,295.1,11.6%,0.14,-,0
FUN k3y,2475,158,19W - 12L,61.3%,4.3,9.8,454,24%,64.4%,628.3,25.8%,0.32,5,0
FUN k3y,2475,167,10W - 1L,90.9%,6.3,9.5,483,23.8%,67.6%,1057.5,33.8%,0.44,3,0
FUN k3y,2475,140,14W - 11L,56%,3.7,9.1,443,24.1%,64.4%,599.7,25.3%,0.3,9,0
FUN k3y,2475,146,3W - 4L,42.9%,2.1,3.9,342,19.2%,80.4%,465.2,20.7%,0.28,-,0
FUN k3y,2475,37,12W - 12L,50%,3.0,9.5,450,24.4%,71.1%,644.9,28.1%,0.33,2,0
FUN k3y,2475,100,13W - 6L,68.4%,3.2,8.4,429,22.8%,69.3%,644.6,28.7%,0.35,1,0
FUN k3y,2475,121,1W - 3L,25%,2.4,8.5,425,24.2%,72.7%,635.2,24.7%,0.29,1,0
FUN k3y,2475,135,13W - 9L,59.1%,3.6,9.6,456,24.5%,71.2%,649,28.4%,0.33,1,0
FUN k3y,2475,147,13W - 7L,65%,4.1,9.8,490,25.8%,72.2%,775.1,32.7%,0.35,4,0
FUN k3y,2475,11,2W - 3L,40%,2.1,8.8,421,23.8%,66.4%,503.5,27.2%,0.26,-,0
FUN k3y,2475,8,1W - 4L,20%,2.1,8.4,375,22.1%,70%,475.6,24.6%,0.19,-,0
FUN k3y,2475,93,9W - 8L,52.9%,3.9,9,456,24.5%,67%,585.4,25.1%,0.41,3,0
Fade,4490,3,5W - 5L,50%,3.3,8.2,416,22.8%,69.4%,504.8,22.2%,0.28,10,0
Fade,4490,143,3W - 5L,37.5%,2.3,8.3,378,22.2%,54.5%,381.8,21.9%,0.17,2,0
Fade,4490,150,7W - 1L,87.5%,6.5,9.9,478,24.5%,55%,513.2,23.9%,0.3,6,0
Fade,4490,120,0W - 1L,0%,3.3,10.4,435,25.3%,83.3%,880.1,41.9%,0.29,-,0
Fade,4490,111,0W - 2L,0%,1.8,10,397,24%,47.9%,170.5,11.7%,0.1,-,0
Fade,4490,2,0W - 1L,0%,2.5,7.6,331,20.4%,83.3%,524.7,27.6%,0.2,-,0
Fade,4490,166,1W - 0L,100%,4.3,8.4,452,22.2%,85%,970.4,38.1%,0.58,1,0
